Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_4654,0,0,0,0,0,0
Pden_4658,0,0,0,0,0,0
Pden_4665,0,0,0,0,0,0
Pden_4667,0,0,0,0,0,0
Pden_4693,0,0,0,0,0,0
Pden_4694,0,0,0,0,0,0
Pden_4727,0,0,0,0,0,0
Pden_4739,0,0,0,0,0,0
Pden_4744,0,0,0,0,0,0
Pden_4763,0,0,0,0,0,0
Pden_4794,0,0,0,0,0,0
Pden_4802,0,0,0,0,0,0
Pden_4806,0,0,0,0,0,0
Pden_4809,0,0,0,0,0,0
Pden_4813,0,0,0,0,0,0
Pden_4819,0,0,0,0,0,0
Pden_4829,0,0,0,0,0,0
Pden_4834,0,0,0,0,0,0
Pden_4868,0,0,0,0,0,0
Pden_4870,0,0,0,0,0,0
Pden_4880,0,0,0,0,0,0
Pden_4882,0,0,0,0,0,0
Pden_4894,0,0,0,0,0,0
Pden_4927,0,0,0,0,0,0
Pden_4930,0,0,0,0,0,0
Pden_4947,0,0,0,0,0,0
Pden_4960,0,0,0,0,0,0
Pden_4979,0,0,0,0,0,0
Pden_4983,0,0,0,0,0,0
Pden_4984,0,0,0,0,0,0
Pden_5013,0,0,0,0,0,0
Pden_5022,0,0,0,0,0,0
Pden_5030,0,0,0,0,0,0
Pden_5055,0,0,0,0,0,0
Pden_5103,0,0,0,0,0,0
Pden_5116,0,0,0,0,0,0
Pden_5123,0,0,0,0,0,0
Pden_5125,0,0,0,0,0,0
