Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_2175,9680700,10318000,10162000,12734000,9719800,10334000
argS,28017000,29264000,26648000,25246000,28464000,28872000
Pden_3908,0,5870500,6122000,6505600,5407400,0
Pden_4066,4214200,3308800,3340100,4402900,3259500,3060800
Pden_5043,0,0,2038700,2398900,0,0
Pden_0848,23904000,18641000,17681000,18867000,19855000,19263000
Pden_0918,0,0,5519500,5583800,0,6186900
Pden_4127,12923000,11208000,10618000,10453000,12429000,10754000
Pden_1273,0,2718000,0,0,0,2338700
ilvC,119840000,107740000,102720000,105030000,106940000,110420000
ftsH,22140000,19560000,18778000,17953000,19041000,18737000
ligA,3476100,2908400,3051500,3672500,2892000,3224500
bioB2,0,0,0,0,8870200,0
tsaD,0,1527300,0,1333100,0,0
Pden_1978,0,0,0,7119600,0,0
Pden_2121,0,2194700,0,2491200,0,0
lysS,46340000,49837000,43961000,45562000,45641000,43938000
Pden_5035,4284900,5484900,5917100,5625100,5814000,6233700
efp,30568000,37028000,29325000,31544000,40310000,39160000
Pden_2169,33074000,31172000,29766000,27921000,31746000,31321000
Pden_2189,48982000,55336000,50912000,49788000,53433000,53733000
ftsA,2513800,3139300,0,0,2359500,0
Pden_1290,0,2984800,2342600,2676400,2326000,0
Pden_2264,21736000,15915000,16327000,18310000,20036000,19192000
pepA,10832000,10210000,10635000,8488900,10822000,10886000
Pden_2767,0,0,0,2872000,0,0
Pden_1941,12099000,18155000,18467000,17612000,18249000,14616000
Pden_0007,9234000,13686000,13380000,13778000,12415000,12709000
Pden_2872,12106000,10759000,11410000,12546000,10126000,10955000
Pden_0792,0,0,2459800,2885000,0,0
Pden_1327,7299300,6619400,0,9971000,8910000,0
Pden_4255,2106400,0,0,0,0,1942900
rpsH,317840000,245000000,237770000,266180000,267000000,265580000
Pden_2245,4315700,0,0,0,0,4003100
Pden_1669,0,10875000,0,0,0,0
Pden_1400,0,1426400,2789900,2207100,0,1842000
Pden_2236,31363000,39467000,43420000,51571000,37122000,37478000
nusA,47086000,35982000,37653000,41427000,32607000,40373000
Pden_3050,0,1549900,0,1461200,0,0
lexA,0,8333500,9511600,9449300,8431000,7960100
Pden_1667,16468000,14957000,15038000,15534000,15727000,16422000
dapD,23304000,27049000,29313000,26562000,28104000,28101000
Pden_3891,67191000,53282000,51344000,57962000,52447000,56047000
tmk,7066700,5346100,4637300,5231500,5834500,6231100
Pden_4061,2766800,0,0,0,0,2896900
Pden_1368,9021000,9656900,8918900,8755400,10763000,9536900
rplA,331580000,320620000,292360000,300660000,310690000,325950000
purC,22295000,25411000,29056000,29871000,22598000,25944000
Pden_4447,29877000,17930000,18080000,17607000,23505000,26094000
nirS,4857100,5060900,4985400,3259000,4131200,3558300
Pden_0090,106140000,111560000,124830000,123490000,121680000,117190000
Pden_2237,7273100,9349000,0,8613300,0,8291800
Pden_2742,10778000,14932000,13267000,12360000,13380000,14517000
nuoI,27781000,28281000,26219000,34061000,30343000,20094000
sucC,232120000,220030000,224740000,221390000,222220000,224610000
Pden_1823,12812000,9384700,9146100,9109100,10545000,10272000
adk,85802000,83750000,79885000,99942000,78042000,82091000
sucD,251660000,215270000,217700000,209840000,240470000,238400000
Pden_4244,3859100,0,0,0,0,3843600
accA,18956000,23814000,20593000,21323000,19515000,19613000
mnmE,0,0,0,0,0,0
rpmJ,0,0,0,0,0,0
acpS,0,0,0,0,0,0
ispE,0,0,0,0,0,0
uppP,0,0,0,0,0,0
truA,0,0,0,0,0,0
gatC,0,0,0,0,0,0
ruvA,0,0,0,0,0,0
Pden_0874,0,0,0,0,0,0
ttcA,0,0,0,0,0,0
Pden_1184,0,0,0,0,0,0
Pden_1185,0,0,0,0,0,0
hpbD,0,0,0,0,0,0
cbbL,0,0,0,0,0,0
rpmF,0,0,0,0,0,0
hisE,0,0,0,0,0,0
lipB,0,0,0,0,0,0
Pden_1958,0,0,0,0,0,0
Pden_1985,0,0,0,0,0,0
rimO,0,0,0,0,0,0
trpD,0,0,0,0,0,0
coaX,0,0,0,0,0,0
nuoB,0,0,0,0,0,0
mscL,0,0,0,0,0,0
rpsU,0,0,0,0,0,0
Pden_2850,0,0,0,0,0,0
atpB,0,0,0,0,0,0
rnhA,0,0,0,0,0,0
recR,0,0,0,0,0,0
trpF,0,0,0,0,0,0
bhcB,0,0,0,0,0,0
proB,0,0,0,0,0,0
trmFO,0,0,0,0,0,0
folE2,0,0,0,0,0,0
norQ,0,0,0,0,0,0
Pden_0012,0,0,0,0,0,0
Pden_0020,0,0,0,0,0,0
Pden_0024,0,0,0,0,0,0
Pden_0026,0,0,0,0,0,0
mobA,0,0,0,0,0,0
Pden_0034,0,0,0,0,0,0
Pden_0048,0,0,0,0,0,0
Pden_0101,0,0,0,0,0,0
Pden_0112,0,0,0,0,0,0
Pden_3359,0,0,0,0,0,0
Pden_0188,0,0,0,0,0,0
Pden_0191,0,0,0,0,0,0
Pden_0210,0,0,0,0,0,0
Pden_0229,0,0,0,0,0,0
Pden_0241,0,0,0,0,0,0
Pden_0244,0,0,0,0,0,0
Pden_0279,0,0,0,0,0,0
Pden_0325,0,0,0,0,0,0
Pden_0330,0,0,0,0,0,0
Pden_0332,0,0,0,0,0,0
Pden_0393,0,0,0,0,0,0
dapF,0,0,0,0,0,0
Pden_0396,0,0,0,0,0,0
xseB,0,0,0,0,0,0
Pden_0402,0,0,0,0,0,0
Pden_0410,0,0,0,0,0,0
Pden_0433,0,0,0,0,0,0
Pden_0439,0,0,0,0,0,0
Pden_0472,0,0,0,0,0,0
vapC,0,0,0,0,0,0
Pden_0486,0,0,0,0,0,0
Pden_0489,0,0,0,0,0,0
Pden_0507,0,0,0,0,0,0
Pden_0521,0,0,0,0,0,0
Pden_0524,0,0,0,0,0,0
Pden_0532,0,0,0,0,0,0
Pden_0535,0,0,0,0,0,0
Pden_0541,0,0,0,0,0,0
Pden_0544,0,0,0,0,0,0
Pden_0546,0,0,0,0,0,0
Pden_0549,0,0,0,0,0,0
Pden_0553,0,0,0,0,0,0
Pden_0567,0,0,0,0,0,0
Pden_0580,0,0,0,0,0,0
mraZ,0,0,0,0,0,0
Pden_0596,0,0,0,0,0,0
Pden_0620,0,0,0,0,0,0
Pden_0627,0,0,0,0,0,0
Pden_0639,0,0,0,0,0,0
def,0,0,0,0,0,0
Pden_0657,0,0,0,0,0,0
Pden_0660,0,0,0,0,0,0
Pden_0668,0,0,0,0,0,0
Pden_0681,0,0,0,0,0,0
Pden_0684,0,0,0,0,0,0
Pden_0685,0,0,0,0,0,0
Pden_0708,0,0,0,0,0,0
Pden_0718,0,0,0,0,0,0
Pden_0727,0,0,0,0,0,0
Pden_0730,0,0,0,0,0,0
Pden_0733,0,0,0,0,0,0
Pden_0736,0,0,0,0,0,0
Pden_0737,0,0,0,0,0,0
Pden_0788,0,0,0,0,0,0
Pden_0791,0,0,0,0,0,0
Pden_0806,0,0,0,0,0,0
Pden_0826,0,0,0,0,0,0
Pden_0838,0,0,0,0,0,0
Pden_0851,0,0,0,0,0,0
rpmH,0,0,0,0,0,0
prmC,0,0,0,0,0,0
Pden_0919,0,0,0,0,0,0
Pden_0928,0,0,0,0,0,0
Pden_0931,0,0,0,0,0,0
